panel,file,trace,condition,G_Wm2,T_C,Voc_V,Isc_A,Pmpp_W,Vmpp_V,Impp_A,FF,Voc_rec_V,Isc_rec_A,Pmpp_rec_W,Vmpp_rec_V,Impp_rec_A,Phi,eta_rel_raw,eta_rel,Phi_ref,Isc_clean_median,R_I,flag_collapse
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelA_Clean.mat,PanelA_Clean.mat,Clean,910.0,42.6,20.12,1.76255,24.11,15.55,1.55,0.6798729903633994,19.908751,1.762552496,24.1123665159811,15.555521,1.5500841479999996,0.026494505494505494,1.0069043410713863,1.0,0.026312832722832722,1.76255,1.0,False
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelA_Dirt.mat,PanelA_Dirt.mat,Soiled,900.0,39.4,19.74,1.74188,23.32,15.27,1.53,0.6782084009476863,19.545145,1.7418802620000002,23.322200749509477,15.249815,1.5293431919999998,0.02591111111111111,0.9847328633920505,0.9847328633920505,0.026312832722832722,1.76255,0.9882726731156564,False
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelA_Shadow.mat,PanelA_Shadow.mat,Shaded,934.0,42.7,19.6,0.435,6.98,17.94,0.39,0.8186722965048089,19.380713,0.43269670400000004,6.9783055678297465,17.957943,0.3885915869,0.007473233404710921,0.28401478029486693,0.28401478029486693,0.026312832722832722,1.76255,0.2468015091770446,True
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelB_Clean.mat,PanelB_Clean.mat,Clean,948.0,40.1,21.06,1.81649,23.33,15.36,1.52,0.6098504668090334,20.821239,1.8164896359999994,23.331442691901263,15.391088,1.515906003,0.02460970464135021,0.9352738604990773,0.9352738604990773,0.026312832722832722,1.76255,1.0306033871379534,False
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelB_Dirt.mat,PanelB_Dirt.mat,Soiled,950.0,40.3,21.22,1.77813,23.03,15.68,1.47,0.6103585731789425,20.919281,1.7781265299999995,23.02632084395997,15.677495,1.4687500039999992,0.024242105263157895,0.9213035144681335,0.9213035144681335,0.026312832722832722,1.76255,1.0088394655470767,False
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelB_Shadow.mat,PanelB_Shadow.mat,Shaded,970.0,39.9,20.5,0.44,6.43,17.62,0.36,0.7128603104212861,19.893312,0.4353430694,6.425772096949389,17.645288,0.3641636280999998,0.006628865979381443,0.2519252126598025,0.2519252126598025,0.026312832722832722,1.76255,0.2496383081331026,True
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelC_Clean.mat,PanelC_Clean.mat,Clean,900.0,34.2,21.19,1.70726,22.21,15.37,1.45,0.6139287004712745,20.885313,1.7072612999999999,22.211684717415075,15.374876,1.4446740720000002,0.024677777777777778,0.9378609303575233,0.9378609303575233,0.026312832722832722,1.76255,0.9686306771439108,False
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelC_Dirt.mat,PanelC_Dirt.mat,Soiled,990.0,37.4,21.3,1.7,22.05,15.33,1.44,0.6089478044739023,20.989532,1.6890717560000004,22.044709761013028,15.369473,1.4343178689999996,0.022272727272727274,0.8464587415326179,0.8464587415326179,0.026312832722832722,1.76255,0.9645116450597145,False
M5_30112,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/M5_30112/ElectricalData/PanelC_Shadow.mat,PanelC_Shadow.mat,Shaded,900.0,37.9,21.0,0.343,5.76,19.63,0.29,0.7996668054977092,20.535604,0.3368221962,5.761196094945759,19.641644,0.2933153709,0.0063999999999999994,0.24322732817916853,0.24322732817916853,0.026312832722832722,1.76255,0.19460440838557772,True
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel1_Clean.mat,Panel1_Clean.mat,Clean,920.0,40.3,19.7,5.02698,54.11,13.6,3.98,0.5463917715237008,19.537426,5.02697631,54.10304706920118,13.603168,3.977238763,0.058815217391304346,0.7495462780583277,0.7495462780583277,0.07846775991425509,5.02541,1.0003124123205869,False
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel1_Dirt.mat,Panel1_Dirt.mat,Soiled,942.0,43.2,17.65,0.76,9.22,14.94,0.62,0.6873415834203072,17.14118,0.7554471320000004,9.218041242735618,14.943336,0.6168663571999999,0.009787685774946922,0.12473512415343989,0.12473512415343989,0.07846775991425509,5.02541,0.1512314418127078,True
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel2_Clean.mat,Panel2_Clean.mat,Clean,950.0,39.6,21.0,5.02541,74.67,15.76,4.74,0.7075471027665974,20.89535,5.025413759999999,74.66499559908831,15.73771,4.744336730000001,0.0786,1.0016852792266457,1.0,0.07846775991425509,5.02541,1.0,False
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel2_Dirt.mat,Panel2_Dirt.mat,Soiled,970.0,39.9,21.67,5.07412,79.57,16.66,4.78,0.7236519103386387,21.555397,5.07412303,79.55752073354208,16.636301,4.782164060000001,0.08203092783505155,1.045409323838097,1.0,0.07846775991425509,5.02541,1.0096927414877592,False
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel2_Shadow.mat,Panel2_Shadow.mat,Shaded,946.0,41.4,20.3,0.7,12.25,19.22,0.64,0.8620689655172414,20.171227,0.6982089938000001,12.236835296039922,19.184628,0.6378458470000004,0.012949260042283297,0.16502650332357494,0.16502650332357494,0.07846775991425509,5.02541,0.139292117459073,True
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel3_Clean.mat,Panel3_Clean.mat,Clean,933.0,39.3,21.3,5.00519,72.1,15.95,4.52,0.6762933127057307,21.166317,5.005193940000001,72.0920868860903,15.977026,4.512234434999999,0.0772775991425509,0.9848324869601895,0.9848324869601895,0.07846775991425509,5.02541,0.995976447692825,False
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel3_Dirt.mat,Panel3_Dirt.mat,Soiled,935.0,39.0,21.6,5.03607,74.23,16.43,4.52,0.6823920386480081,21.461987,5.03606719,74.22416276628627,16.412426,4.522437010000001,0.0793903743315508,1.0117578788830457,1.0,0.07846775991425509,5.02541,1.0021212199601623,False
SP090P,/content/drive/MyDrive/Makaleler/Makale-Instantaneous Relative Efficiency/Experimental data for Mismatching Faults of Photovoltaic Modules/ProcessedData/SP090P/ElectricalData/Panel3_Shadow.mat,Panel3_Shadow.mat,Shaded,940.0,41.9,20.6,0.594,9.22,14.94,0.62,0.7534895884410449,20.41363,0.5922492598000001,10.34982833152791,18.952261,0.5460999260999999,0.009808510638297872,0.12500051803461742,0.12500051803461742,0.07846775991425509,5.02541,0.11819931110098479,True
